"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Egr4"	1.39174384988884	5.70016398499413	246.116597842694	3.90277081450588e-11	5.8006882616001e-07
"Fosb"	1.62240512312796	4.2245860277931	185.534193071678	3.22236225667494e-10	2.39469851104798e-06
"Egr2"	2.47119369798185	2.25407491389914	168.255387269163	6.62379997174207e-10	3.28165129933341e-06
"Fos"	2.08041661487748	4.9068732445702	131.007706092404	4.07647774520612e-09	1.30273146426326e-05
"Dusp5"	0.923421315214998	5.63316585548719	129.692315045568	4.38246472536923e-09	1.30273146426326e-05
"Egr1"	0.983584235324528	8.09767358116639	108.232701294823	1.58250530488346e-08	3.92012939108047e-05
"Nr4a1"	1.0488423864213	6.53486267402259	85.377463910727	8.16653974228295e-08	0.000159969111167448
"Sik1"	1.02347415922304	3.49221643739037	84.715781053293	8.61032691475196e-08	0.000159969111167448
"Arc"	1.10824119275343	7.6134819240542	81.0558379290647	1.16135001390492e-07	0.000191790502851876
"Junb"	0.897248285018238	6.61591749146051	62.4960716258046	6.47567464306292e-07	0.000962479522198442
